Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781872481,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781872482,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781872483,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781872484,30,,Aggregated,0.000000,0.000000,2800,2800,2900,2900,2900,2900,2900,2900,2900,2900,2900,3,0,2800,2799.521420999971,2723.05410499996,2878.5705960000314,129.0
1781872486,40,,Aggregated,0.000000,0.000000,2900,3500,3500,3800,3800,3800,3800,3800,3800,3800,3800,5,0,2900,3143.4968047999746,2723.05410499996,3799.9282289999883,129.0
1781872487,50,,Aggregated,0.750000,0.000000,3500,3800,4400,4400,5200,5200,5200,5200,5200,5200,5200,7,0,3500,3624.4804345714106,2723.05410499996,5220.385816999965,129.0
1781872488,60,,Aggregated,1.000000,0.000000,3800,4400,5200,5600,6200,6200,6200,6200,6200,6200,6200,9,0,3800,4132.405973444432,2723.05410499996,6218.000684000003,129.0
1781872489,70,,Aggregated,1.000000,0.000000,5200,5700,5900,6100,6200,6500,6500,6500,6500,6500,6500,13,0,5200,4726.961678461547,2723.05410499996,6520.608820000007,129.0
1781872490,80,,Aggregated,1.142857,0.000000,5600,5900,6100,6200,6500,7200,7200,7200,7200,7200,7200,14,0,5200,4901.323412214295,2723.05410499996,7168.025951000004,129.0
1781872491,90,,Aggregated,1.142857,0.000000,5900,6200,7200,7600,7700,8000,8000,8000,8000,8000,8000,18,0,5700,5529.359723166667,2723.05410499996,7981.068708999942,129.0
1781872492,100,,Aggregated,1.444444,0.000000,5900,6400,7200,7600,7700,8000,8000,8000,8000,8000,8000,20,0,5700,5307.080122600002,177.1884739999905,7981.068708999942,126.15
1781872493,100,,Aggregated,1.800000,0.000000,5900,6500,7600,7700,8500,9000,9100,9100,9100,9100,9100,25,0,5900,5357.865245720004,177.1884739999905,9145.492384000023,203.36
1781872494,100,,Aggregated,1.800000,0.000000,6100,7200,7600,7700,9000,9100,11000,11000,11000,11000,11000,26,0,5900,5589.297245500006,177.1884739999905,11375.09724000006,200.5
1781872495,100,,Aggregated,2.300000,0.000000,6200,7600,8000,8500,10000,11000,11000,11000,11000,11000,11000,29,0,6200,6013.7532770689695,177.1884739999905,11375.09724000006,193.17241379310346
1781872496,100,,Aggregated,2.500000,0.000000,6500,8000,9000,9100,11000,11000,13000,13000,13000,13000,13000,36,0,6400,6423.836689222228,177.1884739999905,13123.266666000063,233.22222222222223
1781872498,100,,Aggregated,2.500000,0.000000,6500,8500,9100,10000,11000,11000,13000,13000,13000,13000,13000,41,0,6500,6512.655452804883,177.1884739999905,13123.266666000063,267.2682926829268
1781872499,100,,Aggregated,2.400000,0.000000,7600,9000,10000,11000,11000,13000,14000,14000,14000,14000,14000,46,0,7200,6912.0384165,177.1884739999905,14315.669830999923,250.3913043478261
